o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,944,130000,140000,900
taz_21,taz_34,323,130000,140000,900
taz_24,taz_36,362,130000,140000,900
taz_30,taz_34,733,130000,140000,900
taz_30,taz_33,8,130000,140000,900
taz_22,taz_33,520,130000,140000,900
taz_14,taz_33,9,130000,140000,900
taz_14,taz_32,480,130000,140000,900
taz_16,taz_36,197,130000,140000,900
taz_16,taz_37,186,130000,140000,900
taz_25,taz_37,629,130000,140000,900
taz_6,taz_32,63,130000,140000,900
taz_17,taz_37,261,130000,140000,900
taz_23,taz_32,459,130000,140000,900
taz_31,taz_35,535,130000,140000,900
taz_8,taz_37,287,130000,140000,900
taz_7,taz_37,338,130000,140000,900
taz_15,taz_35,214,130000,140000,900
taz_15,taz_37,224,130000,140000,900
taz_9,taz_37,75,130000,140000,900
taz_9,taz_32,20,130000,140000,900
taz_0,taz_32,133,130000,140000,900
