o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,378,130000,140000,900
taz_21,taz_34,19,130000,140000,900
taz_21,taz_33,154,130000,140000,900
taz_24,taz_36,290,130000,140000,900
taz_30,taz_33,319,130000,140000,900
taz_30,taz_32,276,130000,140000,900
taz_22,taz_32,557,130000,140000,900
taz_14,taz_32,523,130000,140000,900
taz_16,taz_36,409,130000,140000,900
taz_25,taz_37,505,130000,140000,900
taz_6,taz_36,177,130000,140000,900
taz_17,taz_37,279,130000,140000,900
taz_23,taz_36,492,130000,140000,900
taz_31,taz_36,361,130000,140000,900
taz_31,taz_35,68,130000,140000,900
taz_8,taz_37,307,130000,140000,900
taz_7,taz_37,909,130000,140000,900
taz_7,taz_35,35,130000,140000,900
taz_15,taz_35,298,130000,140000,900
taz_15,taz_32,171,130000,140000,900
taz_9,taz_32,102,130000,140000,900
taz_0,taz_32,371,130000,140000,900
