o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,393,130000,140000,900
taz_21,taz_34,179,130000,140000,900
taz_24,taz_36,301,130000,140000,900
taz_30,taz_34,428,130000,140000,900
taz_30,taz_33,189,130000,140000,900
taz_22,taz_33,578,130000,140000,900
taz_14,taz_33,233,130000,140000,900
taz_14,taz_32,310,130000,140000,900
taz_16,taz_36,425,130000,140000,900
taz_25,taz_37,525,130000,140000,900
taz_6,taz_36,152,130000,140000,900
taz_17,taz_37,290,130000,140000,900
taz_23,taz_36,122,130000,140000,900
taz_23,taz_32,389,130000,140000,900
taz_31,taz_35,446,130000,140000,900
taz_8,taz_37,319,130000,140000,900
taz_7,taz_37,810,130000,140000,900
taz_15,taz_35,486,130000,140000,900
taz_9,taz_37,56,130000,140000,900
taz_9,taz_35,50,130000,140000,900
taz_0,taz_35,18,130000,140000,900
taz_0,taz_32,301,130000,140000,900
