o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,944,130000,140000,900
taz_21,taz_34,323,130000,140000,900
taz_24,taz_36,362,130000,140000,900
taz_30,taz_34,733,130000,140000,900
taz_30,taz_33,8,130000,140000,900
taz_22,taz_33,520,130000,140000,900
taz_14,taz_33,222,130000,140000,900
taz_14,taz_32,267,130000,140000,900
taz_16,taz_36,383,130000,140000,900
taz_25,taz_37,629,130000,140000,900
taz_6,taz_36,5,130000,140000,900
taz_6,taz_32,58,130000,140000,900
taz_17,taz_37,121,130000,140000,900
taz_17,taz_35,140,130000,140000,900
taz_23,taz_32,459,130000,140000,900
taz_31,taz_35,535,130000,140000,900
taz_8,taz_35,75,130000,140000,900
taz_8,taz_32,212,130000,140000,900
taz_7,taz_32,338,130000,140000,900
taz_15,taz_32,438,130000,140000,900
taz_9,taz_32,95,130000,140000,900
taz_0,taz_32,133,130000,140000,900
