o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,438,130000,140000,900
taz_21,taz_34,150,130000,140000,900
taz_24,taz_36,674,130000,140000,900
taz_30,taz_34,162,130000,140000,900
taz_30,taz_33,526,130000,140000,900
taz_22,taz_33,224,130000,140000,900
taz_22,taz_32,260,130000,140000,900
taz_14,taz_32,454,130000,140000,900
taz_16,taz_36,76,130000,140000,900
taz_16,taz_37,635,130000,140000,900
taz_25,taz_37,115,130000,140000,900
taz_25,taz_35,470,130000,140000,900
taz_6,taz_32,59,130000,140000,900
taz_17,taz_35,242,130000,140000,900
taz_23,taz_32,426,130000,140000,900
taz_31,taz_35,497,130000,140000,900
taz_8,taz_35,534,130000,140000,900
taz_7,taz_35,257,130000,140000,900
taz_7,taz_32,58,130000,140000,900
taz_15,taz_32,406,130000,140000,900
taz_9,taz_32,89,130000,140000,900
taz_0,taz_32,248,130000,140000,900
