o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,794,130000,140000,900
taz_21,taz_34,110,130000,140000,900
taz_24,taz_36,610,130000,140000,900
taz_30,taz_34,1096,130000,140000,900
taz_30,taz_33,149,130000,140000,900
taz_22,taz_33,357,130000,140000,900
taz_14,taz_33,335,130000,140000,900
taz_16,taz_36,263,130000,140000,900
taz_25,taz_37,1000,130000,140000,900
taz_25,taz_36,57,130000,140000,900
taz_6,taz_33,32,130000,140000,900
taz_17,taz_36,70,130000,140000,900
taz_17,taz_35,109,130000,140000,900
taz_23,taz_33,127,130000,140000,900
taz_23,taz_32,188,130000,140000,900
taz_31,taz_35,891,130000,140000,900
taz_31,taz_32,8,130000,140000,900
taz_8,taz_32,196,130000,140000,900
taz_7,taz_32,174,130000,140000,900
taz_15,taz_32,301,130000,140000,900
taz_9,taz_32,65,130000,140000,900
taz_0,taz_32,68,130000,140000,900
