o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,750,130000,140000,900
taz_29,taz_33,8,130000,140000,900
taz_21,taz_33,120,130000,140000,900
taz_24,taz_36,582,130000,140000,900
taz_30,taz_33,1188,130000,140000,900
taz_22,taz_33,389,130000,140000,900
taz_14,taz_33,295,130000,140000,900
taz_14,taz_32,70,130000,140000,900
taz_16,taz_36,168,130000,140000,900
taz_16,taz_37,117,130000,140000,900
taz_25,taz_37,1009,130000,140000,900
taz_6,taz_32,35,130000,140000,900
taz_17,taz_37,195,130000,140000,900
taz_23,taz_32,342,130000,140000,900
taz_31,taz_35,750,130000,140000,900
taz_31,taz_37,108,130000,140000,900
taz_8,taz_37,214,130000,140000,900
taz_7,taz_37,189,130000,140000,900
taz_15,taz_37,168,130000,140000,900
taz_15,taz_32,158,130000,140000,900
taz_9,taz_32,71,130000,140000,900
taz_0,taz_32,74,130000,140000,900
