o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,519,130000,140000,900
taz_21,taz_34,177,130000,140000,900
taz_24,taz_36,399,130000,140000,900
taz_30,taz_34,471,130000,140000,900
taz_30,taz_33,343,130000,140000,900
taz_22,taz_33,572,130000,140000,900
taz_14,taz_33,252,130000,140000,900
taz_14,taz_32,285,130000,140000,900
taz_16,taz_36,421,130000,140000,900
taz_25,taz_37,692,130000,140000,900
taz_6,taz_36,70,130000,140000,900
taz_17,taz_37,287,130000,140000,900
taz_23,taz_36,276,130000,140000,900
taz_23,taz_32,229,130000,140000,900
taz_31,taz_35,588,130000,140000,900
taz_8,taz_37,187,130000,140000,900
taz_8,taz_35,128,130000,140000,900
taz_7,taz_35,372,130000,140000,900
taz_15,taz_35,79,130000,140000,900
taz_15,taz_32,402,130000,140000,900
taz_9,taz_32,105,130000,140000,900
taz_0,taz_32,146,130000,140000,900
