o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,737,130000,140000,900
taz_21,taz_34,13,130000,140000,900
taz_21,taz_33,113,130000,140000,900
taz_24,taz_36,566,130000,140000,900
taz_30,taz_33,637,130000,140000,900
taz_30,taz_32,519,130000,140000,900
taz_22,taz_32,231,130000,140000,900
taz_22,taz_36,175,130000,140000,900
taz_14,taz_36,381,130000,140000,900
taz_16,taz_36,298,130000,140000,900
taz_25,taz_37,750,130000,140000,900
taz_25,taz_36,232,130000,140000,900
taz_6,taz_36,37,130000,140000,900
taz_17,taz_36,204,130000,140000,900
taz_23,taz_36,107,130000,140000,900
taz_23,taz_35,251,130000,140000,900
taz_31,taz_35,834,130000,140000,900
taz_8,taz_35,224,130000,140000,900
taz_7,taz_35,198,130000,140000,900
taz_15,taz_35,341,130000,140000,900
taz_9,taz_35,74,130000,140000,900
taz_0,taz_35,78,130000,140000,900
