o_taz,d_taz,starttime,endtime,duration,volume
taz_29,taz_34,130000,140000,900,519
taz_21,taz_34,130000,140000,900,177
taz_24,taz_36,130000,140000,900,399
taz_30,taz_34,130000,140000,900,54
taz_30,taz_33,130000,140000,900,750
taz_30,taz_32,130000,140000,900,10
taz_22,taz_32,130000,140000,900,572
taz_14,taz_32,130000,140000,900,537
taz_16,taz_36,130000,140000,900,421
taz_25,taz_37,130000,140000,900,692
taz_6,taz_36,130000,140000,900,70
taz_17,taz_37,130000,140000,900,58
taz_17,taz_36,130000,140000,900,229
taz_23,taz_36,130000,140000,900,505
taz_31,taz_36,130000,140000,900,376
taz_31,taz_35,130000,140000,900,212
taz_8,taz_35,130000,140000,900,315
taz_7,taz_35,130000,140000,900,223
taz_7,taz_32,130000,140000,900,149
taz_15,taz_32,130000,140000,900,481
taz_9,taz_32,130000,140000,900,105
taz_0,taz_32,130000,140000,900,146
