o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,378,130000,140000,900
taz_21,taz_34,173,130000,140000,900
taz_24,taz_36,290,130000,140000,900
taz_30,taz_34,449,130000,140000,900
taz_30,taz_33,146,130000,140000,900
taz_22,taz_33,557,130000,140000,900
taz_14,taz_33,297,130000,140000,900
taz_14,taz_32,226,130000,140000,900
taz_16,taz_36,409,130000,140000,900
taz_25,taz_37,505,130000,140000,900
taz_6,taz_36,177,130000,140000,900
taz_17,taz_37,279,130000,140000,900
taz_23,taz_36,124,130000,140000,900
taz_23,taz_32,368,130000,140000,900
taz_31,taz_35,429,130000,140000,900
taz_8,taz_37,216,130000,140000,900
taz_8,taz_35,91,130000,140000,900
taz_7,taz_35,480,130000,140000,900
taz_7,taz_32,464,130000,140000,900
taz_15,taz_32,469,130000,140000,900
taz_9,taz_32,102,130000,140000,900
taz_0,taz_32,371,130000,140000,900
