o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,450,130000,140000,900
taz_21,taz_34,153,130000,140000,900
taz_24,taz_36,344,130000,140000,900
taz_30,taz_34,147,130000,140000,900
taz_30,taz_33,558,130000,140000,900
taz_22,taz_33,192,130000,140000,900
taz_22,taz_32,304,130000,140000,900
taz_14,taz_32,465,130000,140000,900
taz_16,taz_36,364,130000,140000,900
taz_25,taz_37,1198,130000,140000,900
taz_6,taz_36,42,130000,140000,900
taz_6,taz_32,18,130000,140000,900
taz_17,taz_37,498,130000,140000,900
taz_23,taz_32,437,130000,140000,900
taz_31,taz_35,509,130000,140000,900
taz_8,taz_37,273,130000,140000,900
taz_7,taz_37,31,130000,140000,900
taz_7,taz_35,241,130000,140000,900
taz_7,taz_32,50,130000,140000,900
taz_15,taz_32,417,130000,140000,900
taz_9,taz_32,182,130000,140000,900
taz_0,taz_32,127,130000,140000,900
