o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,383,130000,140000,900
taz_21,taz_34,175,130000,140000,900
taz_24,taz_36,294,130000,140000,900
taz_30,taz_34,442,130000,140000,900
taz_30,taz_33,160,130000,140000,900
taz_22,taz_33,564,130000,140000,900
taz_14,taz_33,276,130000,140000,900
taz_14,taz_32,253,130000,140000,900
taz_16,taz_36,415,130000,140000,900
taz_25,taz_37,511,130000,140000,900
taz_6,taz_36,169,130000,140000,900
taz_17,taz_37,283,130000,140000,900
taz_23,taz_36,122,130000,140000,900
taz_23,taz_32,376,130000,140000,900
taz_31,taz_35,435,130000,140000,900
taz_8,taz_37,206,130000,140000,900
taz_8,taz_35,105,130000,140000,900
taz_7,taz_35,460,130000,140000,900
taz_7,taz_32,440,130000,140000,900
taz_15,taz_32,474,130000,140000,900
taz_9,taz_32,103,130000,140000,900
taz_0,taz_32,354,130000,140000,900
