o_taz,d_taz,starttime,endtime,duration,volume
taz_29,taz_34,130000,140000,900,398
taz_21,taz_34,130000,140000,900,182
taz_24,taz_36,130000,140000,900,305
taz_30,taz_34,130000,140000,900,420
taz_30,taz_33,130000,140000,900,205
taz_22,taz_33,130000,140000,900,586
taz_14,taz_33,130000,140000,900,209
taz_14,taz_32,130000,140000,900,341
taz_16,taz_36,130000,140000,900,430
taz_25,taz_37,130000,140000,900,531
taz_6,taz_36,130000,140000,900,143
taz_17,taz_37,130000,140000,900,294
taz_23,taz_36,130000,140000,900,122
taz_23,taz_32,130000,140000,900,395
taz_31,taz_35,130000,140000,900,452
taz_8,taz_37,130000,140000,900,323
taz_7,taz_37,130000,140000,900,764
taz_15,taz_35,130000,140000,900,493
taz_9,taz_37,130000,140000,900,88
taz_9,taz_35,130000,140000,900,19
taz_0,taz_35,130000,140000,900,36
taz_0,taz_32,130000,140000,900,264
