o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,777,130000,140000,900
taz_21,taz_34,265,130000,140000,900
taz_24,taz_36,330,130000,140000,900
taz_30,taz_34,677,130000,140000,900
taz_22,taz_34,281,130000,140000,900
taz_22,taz_33,195,130000,140000,900
taz_14,taz_33,446,130000,140000,900
taz_16,taz_36,349,130000,140000,900
taz_25,taz_37,1000,130000,140000,900
taz_25,taz_36,34,130000,140000,900
taz_6,taz_33,58,130000,140000,900
taz_17,taz_36,287,130000,140000,900
taz_17,taz_35,143,130000,140000,900
taz_23,taz_33,301,130000,140000,900
taz_23,taz_32,119,130000,140000,900
taz_31,taz_35,489,130000,140000,900
taz_8,taz_35,262,130000,140000,900
taz_7,taz_35,106,130000,140000,900
taz_7,taz_32,203,130000,140000,900
taz_15,taz_32,399,130000,140000,900
taz_9,taz_32,157,130000,140000,900
taz_0,taz_32,122,130000,140000,900
