o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,450,130000,140000,900
taz_21,taz_34,153,130000,140000,900
taz_24,taz_36,344,130000,140000,900
taz_30,taz_34,705,130000,140000,900
taz_22,taz_34,496,130000,140000,900
taz_14,taz_34,196,130000,140000,900
taz_14,taz_33,269,130000,140000,900
taz_16,taz_36,364,130000,140000,900
taz_25,taz_37,750,130000,140000,900
taz_25,taz_36,42,130000,140000,900
taz_25,taz_35,406,130000,140000,900
taz_6,taz_33,60,130000,140000,900
taz_17,taz_35,344,130000,140000,900
taz_17,taz_33,154,130000,140000,900
taz_23,taz_33,267,130000,140000,900
taz_23,taz_32,170,130000,140000,900
taz_31,taz_32,509,130000,140000,900
taz_8,taz_32,273,130000,140000,900
taz_7,taz_32,322,130000,140000,900
taz_15,taz_32,417,130000,140000,900
taz_9,taz_32,182,130000,140000,900
taz_0,taz_32,127,130000,140000,900
