o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,407,130000,140000,900
taz_21,taz_34,139,130000,140000,900
taz_24,taz_36,312,130000,140000,900
taz_30,taz_34,454,130000,140000,900
taz_30,taz_33,183,130000,140000,900
taz_22,taz_33,448,130000,140000,900
taz_14,taz_33,369,130000,140000,900
taz_14,taz_32,51,130000,140000,900
taz_16,taz_36,329,130000,140000,900
taz_25,taz_37,541,130000,140000,900
taz_6,taz_36,54,130000,140000,900
taz_17,taz_37,224,130000,140000,900
taz_23,taz_36,305,130000,140000,900
taz_23,taz_32,485,130000,140000,900
taz_31,taz_35,920,130000,140000,900
taz_8,taz_37,246,130000,140000,900
taz_7,taz_37,584,130000,140000,900
taz_15,taz_35,80,130000,140000,900
taz_15,taz_37,405,130000,140000,900
taz_15,taz_32,268,130000,140000,900
taz_9,taz_32,82,130000,140000,900
taz_0,taz_32,114,130000,140000,900
